Id,Source,Frequency
1,1,6.782329983125268
2,1,7.681145747868608
3,1,8.717797887081348
4,1,7.211102550927978
5,1,9.1104335791443
6,1,9.38083151964686
7,1,5.291502622129181
8,1,8.888194417315589
9,1,7.280109889280518
10,1,9.695359714832659
11,1,8.06225774829855
12,1,8.602325267042627
13,1,8.426149773176359
14,1,7.0
15,1,8.660254037844387
16,1,8.18535277187245
17,1,6.855654600401044
18,1,8.831760866327848
19,1,8.0
20,1,7.874007874011811
21,1,7.745966692414834
22,1,7.615773105863909
23,1,5.477225575051661
24,1,10.14889156509222
25,1,3.605551275463989
26,1,8.888194417315589
27,1,8.18535277187245
28,1,6.0
29,1,10.246950765959598
30,1,9.0
31,1,6.6332495807108
32,1,7.937253933193772
33,1,7.14142842854285
34,1,7.3484692283495345
35,1,7.54983443527075
36,1,6.082762530298219
37,1,10.198039027185569
38,1,4.898979485566356
39,1,5.656854249492381
40,1,8.0
41,1,8.12403840463596
42,1,5.0990195135927845
43,1,6.928203230275509
44,1,7.937253933193772
45,1,8.48528137423857
46,1,6.082762530298219
47,1,5.196152422706632
48,1,8.54400374531753
49,1,9.0
50,1,4.47213595499958
51,1,9.9498743710662
52,1,7.3484692283495345
53,1,7.416198487095663
54,1,4.47213595499958
55,1,5.385164807134504
56,1,7.0710678118654755
57,1,9.899494936611665
58,1,5.385164807134504
59,1,14.317821063276353
60,1,7.280109889280518
61,1,4.898979485566356
62,1,7.615773105863909
63,1,8.0
64,1,141.2834031300209
65,1,7.3484692283495345
66,1,7.416198487095663
67,1,5.744562646538029
68,1,10.723805294763608
69,1,4.795831523312719
70,1,9.591663046625438
71,1,10.04987562112089
72,1,7.280109889280518
73,1,9.591663046625438
74,1,8.94427190999916
75,1,9.1104335791443
76,1,25.65151067676132
77,1,9.273618495495704
78,1,11.661903789690601
79,1,7.810249675906654
80,1,7.280109889280518
81,1,8.06225774829855
82,1,8.831760866327848
83,1,8.06225774829855
84,1,8.774964387392123
85,1,8.12403840463596
86,1,10.04987562112089
87,1,6.557438524302
88,1,4.47213595499958
89,1,9.38083151964686
90,1,5.744562646538029
91,1,9.433981132056603
92,1,9.38083151964686
93,1,8.366600265340756
94,1,4.58257569495584
95,1,7.54983443527075
96,1,8.12403840463596
97,1,8.12403840463596
98,1,8.94427190999916
99,1,8.94427190999916
100,1,8.717797887081348
101,1,6.6332495807108
102,1,10.392304845413264
103,1,5.0
104,1,7.681145747868608
105,1,8.06225774829855
106,1,8.774964387392123
107,1,7.280109889280518
108,1,9.16515138991168
109,1,6.4031242374328485
110,1,10.246950765959598
111,1,8.94427190999916
